ClipID,Blinking,Smiling,Head Movement,Boredom,Engagement,Confusion,Frustration,EngagementLevel,GenerativeTimer,EngagementCounter,Directory,PredictedEngagementLevel
1100011002,3,2,1,0,2,0,0,1,10,10,110001,1
1100011003,1,1,0,0,2,0,0,1,20,20,110001,1
1100011004,1,1,0,0,3,0,0,1,30,30,110001,1
1100011005,1,0,0,0,3,0,0,1,40,40,110001,1
1100011006,1,1,0,0,3,0,0,1,50,50,110001,1
1100011007,0,0,0,1,2,0,0,1,60,60,110001,1
1100011008,0,0,0,0,3,0,0,1,70,70,110001,1
1100011009,0,0,0,0,2,1,0,1,80,80,110001,1
1100011010,1,0,0,0,3,0,0,1,90,90,110001,1
1100011011,1,0,0,0,3,0,0,1,100,100,110001,1
1100011012,1,0,0,0,2,2,0,1,110,110,110001,1
1100011013,0,0,0,0,3,0,0,1,120,120,110001,1
1100011014,0,0,0,0,3,0,0,1,130,130,110001,1
1100011015,0,0,0,0,3,0,0,1,140,140,110001,1
1100011016,0,0,0,0,3,0,0,1,150,150,110001,1
1100011017,0,0,0,0,3,0,0,1,160,160,110001,1
1100011018,0,0,0,0,3,0,0,1,170,170,110001,1
1100011019,1,0,0,0,3,0,0,1,180,180,110001,1
1100011020,0,0,0,0,3,0,0,1,190,190,110001,1
1100011021,0,0,0,0,3,0,0,1,200,200,110001,1
1100011022,0,0,0,0,3,0,0,1,210,210,110001,1
1100011023,0,0,0,0,3,0,0,1,220,220,110001,1
1100011025,1,0,0,0,3,0,0,1,230,230,110001,1
1100011026,2,3,1,0,3,0,0,1,240,240,110001,1
1100011027,0,0,0,0,3,0,0,1,250,250,110001,1
1100011028,0,0,0,0,3,0,0,1,260,260,110001,1
1100011029,0,0,0,0,3,0,0,1,270,270,110001,1
1100011031,0,0,0,0,3,0,0,1,280,280,110001,1
1100011032,1,0,0,0,3,0,0,1,290,290,110001,1
1100011034,0,0,0,0,3,0,0,1,300,300,110001,1
1100011035,0,0,0,0,3,0,0,1,310,310,110001,1
1100011037,0,0,0,0,3,0,0,1,320,320,110001,1
1100011038,2,1,0,0,3,0,0,1,330,330,110001,1
1100011040,0,0,0,1,2,0,0,1,340,340,110001,1
1100011046,0,0,0,0,3,0,0,1,350,350,110001,1
1100011047,0,0,0,0,3,0,0,1,360,360,110001,1
1100011048,1,0,1,1,2,1,1,0,370,0,110001,1
1100011049,0,0,0,0,3,0,0,1,380,10,110001,1
1100011050,0,0,0,0,3,0,0,1,390,20,110001,1
1100011051,0,0,0,0,3,1,0,1,400,30,110001,1
1100011052,0,0,0,1,3,0,1,1,410,40,110001,1
1100011053,0,0,0,0,3,0,0,1,420,50,110001,1
1100011054,0,0,0,0,3,0,0,1,430,60,110001,1
1100011055,0,0,0,0,3,0,0,1,440,70,110001,1
1100011056,0,0,0,0,3,0,0,1,450,80,110001,1
1100011057,1,0,0,1,3,0,0,1,460,90,110001,1
1100011058,0,0,0,0,3,0,0,1,470,100,110001,1
1100011059,2,1,2,0,3,1,0,1,480,110,110001,1
1100011060,0,0,0,1,3,1,1,1,490,120,110001,1
1100011062,0,0,0,0,3,0,0,1,500,130,110001,1
1100011063,0,0,0,0,3,0,0,1,510,140,110001,1
1100011064,0,0,0,0,3,0,0,1,520,150,110001,1
1100011066,1,0,0,1,3,0,0,1,530,160,110001,1
1100011067,1,0,0,0,3,0,0,1,540,170,110001,1
1100011068,1,0,0,0,3,0,0,1,550,180,110001,1
1100011069,1,0,0,0,3,0,0,1,560,190,110001,1
1100011070,0,0,0,0,3,0,0,1,570,200,110001,1
1100011071,0,0,0,0,3,0,0,1,580,210,110001,1
1100011072,2,0,0,0,3,0,0,1,590,220,110001,1
1100011073,2,0,0,0,3,0,0,1,600,230,110001,1
1100011075,1,0,1,0,3,0,0,1,610,240,110001,1
1100011076,0,0,0,0,3,0,0,1,620,250,110001,1
1100011078,0,0,0,0,2,0,0,1,630,260,110001,1
1100011079,0,0,0,0,3,0,0,1,640,270,110001,1
1100011080,1,0,0,0,3,0,0,1,650,280,110001,1
1100011081,2,0,0,0,3,0,0,1,660,290,110001,1
1100011082,1,1,0,0,3,0,0,1,670,300,110001,1
1100011083,3,0,0,0,3,0,0,1,680,310,110001,1
1100012001,0,0,0,0,3,0,0,1,690,320,110001,1
1100012003,1,0,0,0,3,0,0,1,700,330,110001,1
1100012007,1,2,1,0,3,0,1,1,710,340,110001,1
1100012008,0,0,0,0,3,0,0,1,720,350,110001,1
1100012009,0,0,0,0,3,0,0,1,730,360,110001,1
1100012010,0,0,0,0,3,3,0,1,740,370,110001,1
1100012011,1,0,1,0,3,0,1,1,750,380,110001,1
1100012013,0,0,0,0,3,0,0,1,760,390,110001,1
1100012014,1,1,0,0,3,0,0,1,770,400,110001,1
1100012015,1,0,0,0,3,0,0,1,780,410,110001,1
1100012016,1,0,1,0,3,0,0,1,790,420,110001,1
1100012017,0,0,0,0,3,1,0,1,800,430,110001,1
1100012018,0,0,1,0,3,0,0,1,810,440,110001,1
1100012021,1,0,1,1,2,0,0,1,820,450,110001,1
1100012022,0,0,1,0,3,0,0,1,830,460,110001,1
1100012023,1,0,1,0,3,0,0,1,840,470,110001,1
1100012025,1,0,0,0,3,0,0,1,850,480,110001,1
1100012026,1,5,3,1,3,0,0,1,860,490,110001,1
1100012027,0,0,0,0,3,0,0,1,870,500,110001,1
1100012028,0,0,0,0,3,0,0,1,880,510,110001,1
1100012030,0,2,1,0,3,0,0,1,890,520,110001,1
1100012031,0,1,0,0,3,0,0,1,900,530,110001,1
1100012032,1,0,2,0,3,0,0,1,910,540,110001,1
1100012033,1,0,0,0,3,0,0,1,920,550,110001,1
1100012036,0,0,0,0,3,0,0,1,930,560,110001,1
1100012037,1,1,2,0,3,0,0,1,940,570,110001,1
1100012038,2,1,0,0,3,0,0,1,950,580,110001,1
1100012041,0,0,0,0,3,0,0,1,960,590,110001,1
1100012042,1,1,0,0,2,0,0,1,970,600,110001,1
1100012045,0,0,0,0,2,0,0,1,980,610,110001,1
1100012046,1,1,0,0,3,0,0,1,990,620,110001,1
1100012047,1,1,0,0,2,0,0,1,1000,630,110001,1
1100012049,1,1,0,0,3,0,0,1,1010,640,110001,1
1100012050,0,0,0,0,3,0,0,1,1020,650,110001,1
1100012051,0,0,0,0,3,1,0,1,1030,660,110001,1
1100012052,1,2,0,0,3,0,0,1,1040,670,110001,1
1100012057,0,0,0,1,3,1,1,1,1050,680,110001,1
1100012059,1,0,0,0,3,0,0,1,1060,690,110001,1
1100012060,1,0,0,0,3,0,0,1,1070,700,110001,1
1100012061,0,0,0,0,3,0,0,1,1080,710,110001,1
1100012062,1,0,0,0,3,0,0,1,1090,720,110001,1
1100012063,1,1,2,0,3,0,0,1,1100,730,110001,1
1100012064,2,0,3,0,3,0,0,1,1110,740,110001,1
1100012065,0,0,0,0,3,1,1,1,1120,750,110001,1
1100012066,0,0,0,0,3,0,0,1,1130,760,110001,1
1100012069,1,2,0,0,3,0,0,1,1140,770,110001,1
1100021001,3,0,4,0,2,0,0,1,10,10,110002,1
1100021003,2,0,6,0,1,0,0,1,20,20,110002,1
1100021015,2,2,6,2,2,0,1,0,30,0,110002,0
1100021038,1,0,6,0,2,0,0,1,40,10,110002,1
1100021039,0,0,0,1,2,2,2,0,50,0,110002,1
1100021040,0,0,2,0,3,0,0,1,60,10,110002,1
1100021045,2,0,1,1,3,0,1,1,70,20,110002,1
1100021050,1,0,0,0,3,0,2,1,80,30,110002,1
1100021055,4,1,6,3,1,0,0,0,90,0,110002,0
1100022001,1,3,4,2,3,1,1,0,100,0,110002,0
1100022002,0,0,1,2,2,0,0,1,110,10,110002,1
1100022003,0,0,0,2,3,1,1,0,120,0,110002,1
1100022004,1,0,0,2,3,0,1,1,130,10,110002,1
1100022005,1,3,2,2,1,0,0,0,140,0,110002,1
1100022008,0,0,3,2,2,1,1,0,150,0,110002,1
1100022009,0,0,2,2,3,0,0,1,160,10,110002,1
1100022014,0,0,0,0,3,1,0,1,170,20,110002,1
1100022019,0,0,0,1,3,1,1,1,180,30,110002,1
1100022020,0,0,3,0,2,0,0,1,190,40,110002,1
1100022021,3,4,4,1,2,1,0,1,200,50,110002,1
1100022022,4,5,11,3,2,0,1,0,210,0,110002,1
1100022026,3,0,7,0,3,0,0,1,220,10,110002,1
1100022027,1,0,2,1,3,1,1,1,230,20,110002,1
1100022028,0,0,0,0,3,0,0,1,240,30,110002,1
1100022029,0,0,2,0,3,0,0,1,250,40,110002,1
1100022031,0,0,0,0,3,1,1,1,260,50,110002,1
1100022035,0,0,0,0,2,1,0,1,270,60,110002,1
1100022038,3,0,3,1,3,1,1,1,280,70,110002,1
1100022039,0,0,0,1,3,0,1,1,290,80,110002,1
1100022045,0,0,2,0,3,0,0,1,300,90,110002,1
1100022046,0,0,0,0,3,0,0,1,310,100,110002,1
1100022047,2,2,2,1,3,3,0,0,320,0,110002,1
1100022048,0,0,0,0,2,2,0,1,330,10,110002,1
1100022049,0,1,0,0,2,3,0,0,340,0,110002,1
1100022051,1,0,4,0,3,3,1,0,350,0,110002,1
1100022052,0,0,0,0,2,2,0,1,360,10,110002,1
1100022053,0,0,2,0,2,2,1,0,370,0,110002,1
1100022054,1,2,0,1,2,0,0,1,380,10,110002,1
1100022055,0,0,1,1,2,0,0,1,390,20,110002,1
1100022056,0,0,0,0,3,0,0,1,400,30,110002,1
1100022057,1,0,4,0,2,0,0,1,410,40,110002,1
1100041006,2,3,1,0,3,0,0,1,10,10,110004,1
1100041015,2,1,0,2,3,0,0,1,20,20,110004,1
1100041016,2,0,0,0,3,0,0,1,30,30,110004,1
1100041017,4,0,1,2,2,0,2,0,40,0,110004,1
1100041018,0,0,0,2,2,0,0,1,50,10,110004,1
1100041021,2,0,0,0,2,0,0,1,60,20,110004,1
1100041022,2,0,0,2,2,0,0,1,70,30,110004,1
1100041023,4,2,1,2,2,2,1,0,80,0,110004,1
1100041024,5,4,1,2,2,0,0,1,90,10,110004,1
1100041029,4,0,0,0,3,0,0,1,100,20,110004,1
1100041034,1,0,0,0,2,0,0,1,110,30,110004,1
1100041044,2,1,0,0,2,0,0,1,120,40,110004,1
1100041051,7,3,0,0,3,0,0,1,130,50,110004,1
1100041052,1,0,0,0,2,0,0,1,140,60,110004,1
1100042009,4,4,0,2,2,1,1,0,150,0,110004,1
1100042010,2,4,0,2,2,0,0,1,160,10,110004,1
1100042011,0,0,0,2,2,1,1,0,170,0,110004,1
1100042017,2,1,2,2,2,0,0,1,180,10,110004,1
