ClipID,Boredom,Engagement,Confusion,Frustration,EngagementLevel,Directory,GenerativeTimer,Blinking,Smiling,Head Movement,PredictedEngagementLevel,DynamicCounter
1100011002,0,2,0,0,1,110001,10,3,2,1,1,10
1100011003,0,2,0,0,1,110001,20,1,1,0,1,20
1100011004,0,3,0,0,1,110001,30,1,1,0,1,30
1100011005,0,3,0,0,1,110001,40,1,0,0,1,40
1100011006,0,3,0,0,1,110001,50,1,1,0,1,50
1100011007,1,2,0,0,1,110001,60,0,0,0,1,60
1100011008,0,3,0,0,1,110001,70,0,0,0,1,70
1100011009,0,2,1,0,1,110001,80,0,0,0,1,80
1100011010,0,3,0,0,1,110001,90,1,0,0,1,90
1100011011,0,3,0,0,1,110001,100,1,0,0,1,100
1100011012,0,2,2,0,1,110001,110,1,0,0,1,110
1100011013,0,3,0,0,1,110001,120,0,0,0,1,120
1100011014,0,3,0,0,1,110001,130,0,0,0,1,130
1100011015,0,3,0,0,1,110001,140,0,0,0,1,140
1100011016,0,3,0,0,1,110001,150,0,0,0,1,150
1100011017,0,3,0,0,1,110001,160,0,0,0,1,160
1100011018,0,3,0,0,1,110001,170,0,0,0,1,170
1100011019,0,3,0,0,1,110001,180,1,0,0,1,180
1100011020,0,3,0,0,1,110001,190,0,0,0,1,190
1100011021,0,3,0,0,1,110001,200,0,0,0,1,200
1100011022,0,3,0,0,1,110001,210,0,0,0,1,210
1100011023,0,3,0,0,1,110001,220,0,0,0,1,220
1100011025,0,3,0,0,1,110001,230,1,0,0,1,230
1100011026,0,3,0,0,1,110001,240,2,3,1,1,240
1100011027,0,3,0,0,1,110001,250,0,0,0,1,250
1100011028,0,3,0,0,1,110001,260,0,0,0,1,260
1100011029,0,3,0,0,1,110001,270,0,0,0,1,270
1100011031,0,3,0,0,1,110001,280,0,0,0,1,280
1100011032,0,3,0,0,1,110001,290,1,0,0,1,290
1100011034,0,3,0,0,1,110001,300,0,0,0,1,300
1100011035,0,3,0,0,1,110001,310,0,0,0,1,310
1100011037,0,3,0,0,1,110001,320,0,0,0,1,320
1100011038,0,3,0,0,1,110001,330,2,1,0,1,330
1100011040,1,2,0,0,1,110001,340,0,0,0,1,340
1100011046,0,3,0,0,1,110001,350,0,0,0,1,350
1100011047,0,3,0,0,1,110001,360,0,0,0,1,360
1100011048,1,2,1,1,0,110001,370,1,0,1,1,0
1100011049,0,3,0,0,1,110001,380,0,0,0,1,10
1100011050,0,3,0,0,1,110001,390,0,0,0,1,20
1100011051,0,3,1,0,1,110001,400,0,0,0,1,30
1100011052,1,3,0,1,1,110001,410,0,0,0,1,40
1100011053,0,3,0,0,1,110001,420,0,0,0,1,50
1100011054,0,3,0,0,1,110001,430,0,0,0,1,60
1100011055,0,3,0,0,1,110001,440,0,0,0,1,70
1100011056,0,3,0,0,1,110001,450,0,0,0,1,80
1100011057,1,3,0,0,1,110001,460,1,0,0,1,90
1100011058,0,3,0,0,1,110001,470,0,0,0,1,100
1100011059,0,3,1,0,1,110001,480,2,1,2,1,110
1100011060,1,3,1,1,1,110001,490,0,0,0,1,120
1100011062,0,3,0,0,1,110001,500,0,0,0,1,130
1100011063,0,3,0,0,1,110001,510,0,0,0,1,140
